Open time,Open,High,Low,Close,Volume
1524787200000.0,0.016551,0.01657,0.016129,0.016338,120340.59
1524873600000.0,0.016322,0.016365,0.0161,0.01626,123053.51
1524960000000.0,0.016252,0.016414,0.016094,0.016303,159333.63
1525046400000.0,0.016301,0.01642,0.015972,0.016066,159742.62
1525132800000.0,0.016042,0.016344,0.015964,0.016328,138416.09
1525219200000.0,0.016302,0.016662,0.016143,0.016399,155980.93
1525305600000.0,0.016399,0.01729,0.016367,0.016537,282419.69
1525392000000.0,0.016556,0.017623,0.016273,0.017422,247739.65
1525478400000.0,0.017433,0.018519,0.017273,0.01817,335778.4
1525564800000.0,0.01815,0.018601,0.017433,0.017835,213431.88
1525651200000.0,0.017847,0.01788,0.017082,0.01755,150625.45
1525737600000.0,0.01755,0.017851,0.017149,0.017308,156069.51
1525824000000.0,0.017311,0.017396,0.016775,0.016839,150765.87
1525910400000.0,0.016818,0.0172,0.016378,0.016435,156403.16
1525996800000.0,0.016403,0.016607,0.015977,0.01621,193806.73
1526083200000.0,0.016209,0.016806,0.015939,0.016713,119719.95
1526169600000.0,0.016713,0.016838,0.016221,0.016629,121039.09
1526256000000.0,0.016629,0.017319,0.01612,0.016981,266026.25
1526342400000.0,0.016987,0.017141,0.016281,0.016428,170318.85
1526428800000.0,0.016445,0.016746,0.01626,0.016681,109920.91
1526515200000.0,0.016681,0.016863,0.01629,0.016427,101068.96
1526601600000.0,0.016429,0.0167,0.0162,0.01649,104679.99
1526688000000.0,0.016498,0.016573,0.01625,0.01639,93174.19
1526774400000.0,0.01639,0.016552,0.01623,0.01639,100909.36
1526860800000.0,0.01639,0.016423,0.01598,0.015982,96616.06
1526947200000.0,0.015996,0.016294,0.015922,0.016025,98304.87
1527033600000.0,0.016025,0.016139,0.01548,0.015755,139684.92
1527120000000.0,0.015753,0.016448,0.015572,0.01619,104495.47
1527206400000.0,0.0162,0.016288,0.015843,0.015934,105524.33
1527292800000.0,0.015934,0.01618,0.015905,0.016128,85491.59
1527379200000.0,0.016128,0.01618,0.015932,0.016031,78944.52
1527465600000.0,0.016031,0.01614,0.01552,0.015593,99854.86
1527552000000.0,0.015593,0.016409,0.01552,0.015999,137331.23
1527638400000.0,0.015999,0.016249,0.015668,0.015875,132097.0
1527724800000.0,0.015874,0.015958,0.015716,0.015788,142668.98
1527811200000.0,0.015787,0.01599,0.015677,0.015976,143023.58
1527897600000.0,0.015972,0.01623,0.01584,0.016158,147208.13
1527984000000.0,0.016156,0.016518,0.016002,0.016211,149551.23
1528070400000.0,0.016212,0.0164,0.01582,0.015994,146807.4
1528156800000.0,0.015983,0.016052,0.015706,0.016017,151358.28
1528243200000.0,0.016017,0.01608,0.015752,0.015849,139743.7
1528329600000.0,0.015863,0.015979,0.015627,0.01581,148438.99
1528416000000.0,0.015817,0.015908,0.015601,0.015761,145830.11
1528502400000.0,0.015751,0.015787,0.015568,0.015652,128350.81
1528588800000.0,0.015653,0.015889,0.015407,0.015744,174002.14
1528675200000.0,0.015747,0.015985,0.01541,0.01559,158417.83
1528761600000.0,0.015596,0.015748,0.014973,0.015261,175622.15
1528848000000.0,0.015261,0.015278,0.014338,0.01484,176871.42
1528934400000.0,0.014841,0.015371,0.014676,0.015177,168940.74
1529020800000.0,0.01518,0.01519,0.014749,0.014951,128486.2
1529107200000.0,0.014951,0.015004,0.014652,0.014884,137992.1
1529193600000.0,0.014885,0.014983,0.014684,0.014721,128780.44
1529280000000.0,0.014721,0.014855,0.014489,0.014722,141781.73
1529366400000.0,0.01472,0.01504,0.014516,0.014631,126201.45
1529452800000.0,0.014636,0.01475,0.014427,0.01446,123539.56
1529539200000.0,0.014465,0.014607,0.0143,0.014403,137659.67
1529625600000.0,0.014396,0.014427,0.01352,0.01403,184531.58
1529712000000.0,0.01403,0.014106,0.01338,0.013434,156655.75
1529798400000.0,0.013434,0.0135,0.012668,0.013086,176051.63
1529884800000.0,0.013099,0.013396,0.01284,0.013048,148282.56
1529971200000.0,0.013043,0.013133,0.012347,0.012469,87027.02
1530057600000.0,0.012468,0.013233,0.012417,0.013138,129019.86
1530144000000.0,0.013147,0.013254,0.0126,0.012675,139076.93
1530230400000.0,0.01267,0.012902,0.0124,0.012732,137781.69
1530316800000.0,0.012728,0.013078,0.01252,0.012717,137729.64
1530403200000.0,0.012717,0.012726,0.012344,0.012564,136729.45
1530489600000.0,0.012556,0.01305,0.012433,0.012911,158469.35
1530576000000.0,0.01291,0.01352,0.012851,0.013033,176300.87
1530662400000.0,0.013056,0.013301,0.012906,0.012957,105009.01
1530748800000.0,0.012957,0.013057,0.012623,0.012753,145834.86
1530835200000.0,0.01276,0.012876,0.012485,0.01259,139423.74
1530921600000.0,0.012587,0.012626,0.01218,0.012552,142901.81
1531008000000.0,0.012569,0.012644,0.012218,0.012262,132546.18
1531094400000.0,0.012256,0.012322,0.012035,0.012075,138871.88
1531180800000.0,0.012077,0.012489,0.011661,0.012035,165535.44
1531267200000.0,0.012036,0.012655,0.011918,0.012262,155152.37
1531353600000.0,0.012255,0.012389,0.01199,0.012316,134944.45
1531440000000.0,0.012311,0.012468,0.012187,0.012303,138069.99
1531526400000.0,0.012305,0.01235,0.012149,0.012188,127725.61
1531612800000.0,0.012189,0.012443,0.012058,0.012352,134488.84
1531699200000.0,0.012366,0.0126,0.012252,0.012443,146206.32
1531785600000.0,0.012437,0.012534,0.012,0.012167,151744.66
1531872000000.0,0.012172,0.012644,0.011655,0.011692,165857.82
1531958400000.0,0.011689,0.011901,0.011492,0.01152,144596.63
1532044800000.0,0.011517,0.011572,0.0111,0.011146,147001.8
1532131200000.0,0.01116,0.011456,0.010937,0.011267,130854.31
